PERIODO;ID;RAZON_SOCIAL;NOMBRE_FANTASIA;CLASIFICACION;LOCALIDAD_PARTIDO;TELEFONO;DISPOSICION;DIRECCION;PISO;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
201707;1;METALURGICA LARRAUDE SA;MATHIL;MANTENEDOR,REPARADOR  RUBRO:AGUA,POLVO ;CABA;4919-7777;DI-2017-1597-DGHP;BARCO CENTENERA DEL 2946;;NUEVA POMPEYA;COMUNA 4;1437;C1437ACO;-34.65070056590983;-58.42433441180475
201707;2;FUEGOTECNIC SRL;FUEGOTECNIC ;FABRICANTE,MANTENEDOR,REPARADOR RUBRO:AGUA,DETECCION,GASES,POLVO ;CABA;4911-5927;DI-2017-2945-DGHP;BONAVENA, OSCAR NATALIO 1468;;NUEVA POMPEYA;COMUNA 4;1437;C1437EOJ;-34.65444112964995;-58.40487036561121
201707;4;MARINO DANIEL MACCHI;MARIANO DANIEL MACCHI;INSTALADOR,MANTENEDOR,REPARADOR;TRES DE FEBRERO;4566-5927/4639-2172;DI-2017-3182 DGHP;PAYSANDU 2211;;VILLA CRESPO;COMUNA 15;1416;C1416CDW;-34.5997884714131;-58.456859889156696
201707;4;ADG PROTECCION SA;ADG PROTECCION SA;FABRICANTE,INSTALADOR,MANTENEDOR,REPARADOR;CABA;4583-3231;DI-2017-1268-DGHP;PAYSANDU 2211;;VILLA CRESPO;COMUNA 15;1416;C1416CDW;-34.5997884714131;-58.456859889156696
201707;5;AJYB SRL;AJYB;FABRICANTE,INSTALADOR,MANTENEDOR,REPARADOR RUBRO:AGUA,GASES;CABA;4912-1004/5;DI-2017-3181-DGHP;INCLAN 3238;;PARQUE PATRICIOS;COMUNA 4;1258;C1258AAT;-34.631454556861854;-58.41044474937912
201707;6;EXTINGUIDORES ELTA SRL;ELTA;MANTENEDOR,REPARADOR  RUBRO:AGUA,POLVO ;CABA;4585-2050/4584-3630;DI-2017-7173-DGHP;PAYSANDU 2270;;PATERNAL;COMUNA 15;1416;C1416CDX;-34.59899496023748;-58.45673280180297
201707;7;TECNIC-TOTAL SA;TECNICTOTAL;INSTALADOR,MANTENEDOR,REPADOR RUBRO:GASES,DETECCION;MORON;4697-7900/7910;DI-2017-4138-DGHP;CECILIA GRIERSO 1815;;;;;;;
201707;8;RANKO SRL;RANKO;MANTENEDOR,REPARADOR  RUBRO:AGUA,POLVO ;CABA;4922-1900;DI-2017-3183-DGHP;QUILMES 141;;NUEVA POMPEYA;COMUNA 4;1437;C1437DLC;-34.64127091563906;-58.4181822872455
201707;9;MAXISEGURIDAD INDUSTRIAL SA;MAXIISEGURIDAD INDUSTRIAL;INSTALADOR,MANTENEDOR,REPARADOR RUBRO:AGUA,DETECCION,GASES,POLVO;MUNRO;4756-3979;DI-2017-4133-DGHP;VELEZ SARSFIELD 5263;;;;;;;
201707;10;INDUSTRIAS MAS SRL;INDUSTRIAS MAS ;FABRICANTE,INSTALADOR,MANTENEDOR,REPARADOR RUBRO:AGUA,DETECCION,GASES,POLVO;CABA;4686-2439;DI-2017-5844-DGHP;CAÑADA DE GOMEZ 2232;;MATADEROS;COMUNA 9;1440;C1440EGT;-34.6604915076735;-58.5056862463955
201707;11;FUEGO RED SA;FUEGO RED;INSTALADOR,MANTENEDOR,REPARADOR RUBRO:AGUA,DETECCION,GASES;CABA;4555-6464;DI-2017-5844-DGHP;CHARLONE 1351;;VILLA ORTUZAR;COMUNA 15;1427;C1427BYA;-34.58070402647277;-58.461281390809134
